Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh
01-Jan 12:00:00,211.7281411796788,76.61130840544492,450.0379779012376,498.804696560835,4.333321758002059,-287.0765553811562,12.5619765801036,2.9338584055392882,0.0,3958.2995763008225,9.513227394173136,347.8851867374534,-46.988300277681134,-9.962904257145741,-2.842170943040401E-14,0.0,21.392312845828016,0.0,0.0,24.085734537824248,0.0,3612.374319320371,41.730501667509635,0.0,0.0,0.0,0.0,1969.2332316664342,0.0,3574.7856958783145,1601.4105859864271,1601.4105859864271,0.0,1601.410585986423,1601.410585986423,0.0,4.092726157978177E-12,0.39200230989279833,0.08,
01-Jan 13:00:00,187.0484230618186,84.20968898954392,359.3715889523581,429.5114559765917,5.158817568057606,-242.46303291477312,8.052531162065117,2.8339666824824343,0.0,3428.538407101442,16.878484677577077,0.0,-59.85875505457769,-9.480183256132408,0.0,0.0,20.731972246246016,0.0,0.0,21.80818529697924,0.0,3438.458703191349,36.95136283471661,0.0,0.0,0.0,0.0,2209.759927529528,0.0,5784.545623407842,1191.7474128271058,1191.7474128271058,0.0,1191.7474128271058,1191.7474128271058,0.0,0.0,0.33878637112139287,0.08,
01-Jan 14:00:00,103.49781144966475,70.4414710119954,142.22719142290637,209.0944382435252,5.615120568530526,-105.59662679386044,6.925046135331176,2.3936676324554056,0.0,1636.1631834562993,49.94565819865377,89.26744586741955,-69.79654855970416,-4.275763203379823,0.0,0.0,10.368821919674431,0.0,0.0,4.436046369457333,0.0,1556.2175228641777,36.37276199628967,0.0,0.0,0.0,0.0,402.58156134247577,0.0,6187.127184750318,1117.2631995254123,1117.2631995254123,0.0,1117.2631995254117,1117.2631995254117,0.0,6.821210263296962E-13,0.6524233234083349,0.08,
01-Jan 15:00:00,56.946815981400505,40.954931208332845,112.09268891942475,136.74883489571909,5.676923296991106,-79.80201891431858,5.650273641213186,2.4836416919409263,0.0,1053.356191217407,56.062803322734794,48.49098832914868,-53.66393069132092,-2.7353348033854212,1.4210854715202004E-14,0.0,6.804461824551513,0.0,0.0,1.815431812969017,0.0,996.5817714227094,36.48554541807522,0.0,0.0,0.0,0.0,0.0,195.16564140439635,5991.961543345922,1155.2618674090306,1155.2618674090306,0.0,1191.7474128271058,1155.2618674090304,36.485545418075276,2.2737367544323206E-13,1.0315095870447244,0.08,
01-Jan 16:00:00,12.306765539634648,12.306765539634648,0.0,0.0,5.498082122833105,12.306765539634648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.485545418075205,0.0,0.0,0.0,0.0,0.0,1191.7474128271053,4800.214130518816,1155.2618674090302,1155.2618674090302,0.0,1191.7474128271058,1155.2618674090302,36.48554541807566,0.0,0.0,0.08,
01-Jan 17:00:00,0.0,0.0,0.0,0.0,5.2125740121309025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.02590988318368,0.0,0.0,0.0,0.0,0.0,1601.4105859864233,3198.803544532393,1560.3846761032396,1560.3846761032396,0.0,1601.410585986423,1560.3846761032394,41.02590988318368,2.2737367544323206E-13,0.0,0.08,
01-Jan 18:00:00,0.0,0.0,0.0,0.0,4.955540018810204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.37867010136415,0.0,0.0,0.0,0.0,0.0,2085.557972447435,1113.2455720849582,2037.179302346071,2037.179302346071,0.0,2085.557972447435,2037.179302346071,48.37867010136415,0.0,0.0,0.08,
01-Jan 19:00:00,0.0,0.0,0.0,0.0,4.698506025489505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88724230750855,0.0,0.0,0.0,0.0,0.0,233.2455720849582,880.0,211.35832977744965,211.35832977744965,0.0,2383.4948256542116,211.3583297774494,2172.136495876762,2.5579538487363607E-13,0.0,0.08,
01-Jan 20:00:00,0.0,0.0,0.0,0.0,4.441472032168807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2793.157998813529,0.0,2793.157998813529,0.0,0.0,0.08,
01-Jan 21:00:00,0.0,0.0,0.0,0.0,4.18443803884811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2644.1895722101403,0.0,2644.1895722101403,0.0,0.0,0.08,
01-Jan 22:00:00,0.0,0.0,0.0,0.0,3.9274040455274104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2197.284292399976,0.0,2197.284292399976,0.0,0.0,0.08,
01-Jan 23:00:00,0.0,0.0,0.0,0.0,3.6703700522067138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1675.8947992881174,0.0,1675.8947992881174,0.0,0.0,0.08,
02-Jan 00:00:00,0.0,0.0,0.0,0.0,4.1720919759028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
